,GDP_actual,GDP_forecast,lower_95,upper_95
1960-01-01,37.03,,,
1961-01-01,39.23,,,
1962-01-01,42.16,,,
1963-01-01,48.42,,,
1964-01-01,56.48,,,
1965-01-01,59.55,,,
1966-01-01,45.87,,,
1967-01-01,50.13,,,
1968-01-01,53.09,,,
1969-01-01,58.45,,,
1970-01-01,62.42,,,
1971-01-01,67.35,,,
1972-01-01,71.46,,,
1973-01-01,85.52,,,
1974-01-01,99.53,,,
1975-01-01,98.47,,,
1976-01-01,102.72,,,
1977-01-01,121.49,,,
1978-01-01,137.3,,,
1979-01-01,152.99,,,
1980-01-01,186.33,,,
1981-01-01,193.49,,,
1982-01-01,200.72,,,
1983-01-01,218.26,,,
1984-01-01,212.16,,,
1985-01-01,232.51,,,
1986-01-01,248.99,,,
1987-01-01,279.03,,,
1988-01-01,296.59,,,
1989-01-01,296.04,,,
1990-01-01,320.98,,,
1991-01-01,270.11,,,
1992-01-01,288.21,,,
1993-01-01,279.3,,,
1994-01-01,327.28,,,
1995-01-01,360.28,,,
1996-01-01,392.9,,,
1997-01-01,415.87,,,
1998-01-01,421.35,,,
1999-01-01,458.82,,,
2000-01-01,468.39,,,
2001-01-01,485.44,,,
2002-01-01,514.94,,,
2003-01-01,607.7,,,
2004-01-01,709.15,,,
2005-01-01,820.38,,,
2006-01-01,940.26,,,
2007-01-01,1220.0,,,
2008-01-01,1200.0,,,
2009-01-01,1340.0,,,
2010-01-01,1680.0,,,
2011-01-01,1820.0,,,
2012-01-01,1830.0,,,
2013-01-01,1860.0,,,
2014-01-01,2040.0,,,
2015-01-01,2100.0,,,
2016-01-01,2290.0,,,
2017-01-01,2650.0,,,
2018-01-01,2700.0,,,
2019-01-01,2840.0,,,
2020-01-01,2670.0,,,
2021-01-01,3150.0,,,
2022-01-01,3390.0,,,
2023-01-01,3730.0,,,
2024-01-01,,3708.242735875462,3538.145791962864,3878.33967978806
2025-01-01,,3917.940250900595,3678.8472124661885,4157.033289335001
2026-01-01,,4085.2776690801275,3781.7457800583147,4388.809558101941
2027-01-01,,4386.363401200946,4043.4798519512005,4729.246950450692
2028-01-01,,4532.682806290308,4120.090922758978,4945.274689821637
2029-01-01,,4723.972887030507,4234.208386193883,5213.7373878671315
2030-01-01,,4872.9373553765445,4293.814933884014,5452.059776869075
2031-01-01,,5102.821508583226,4445.334955648537,5760.308061517915
2032-01-01,,5290.554413928865,4548.135021751083,6032.973806106647
2033-01-01,,5493.933646229406,4663.356306683928,6324.510985774884
2034-01-01,,5662.459318094121,4733.900145270329,6591.018490917913
2035-01-01,,5861.101359035272,4834.340328243911,6887.862389826633
2036-01-01,,6049.677358051098,4921.40102521642,7177.953690885776
2037-01-01,,6251.364130157051,5020.288069961536,7482.440190352565
2038-01-01,,6435.777478520135,5096.596067436776,7774.958889603495
2039-01-01,,6628.335023720021,5178.316638815214,8078.353408624828
